year,z,z_95LCI,z_95UCI,s,s_95LCI,s_95UCI
1940,,,,,,
1950,,,,,,
1970,,,,,,
1980,,,,,,
1990,,,,,,
2000,,,,,,
2010,,,,,,
2020,,,,,,
